"order","DCC.id","Name","developmental.stage","antibody","target","strain","temperature","GEO"
"27","modENCODE_6227","seq-SDQ2357Q2358 AMA1 N2 Mxemb EE","Mixed Stage Embryos","SDQ2357-AMA1","ama-1","N2","20 degree celsius","GSM1217421;GSM1217422;GSM1217423;GSM1217424"
"28","modENCODE_6223","seq-SDQ0839 TBP1 N2 Mxemb EE","Mixed Stage Embryos","SDQ0839_TBP1","TBP-1","N2","20 degree celsius","GSM1217417;GSM1217418;GSM1217419;GSM1217420"
"29","modENCODE_6219","seq-OD0039 SMC4 N2 Mxemb","Mixed Stage Embryos","SMC-4_OD00039","smc-4","N2","20 degree celsius","GSM1217413;GSM1217414;GSM1217415;GSM1217416"
"30","modENCODE_6218","seq-NBP170893 HTZ1 N2 Mxemb","Mixed Stage Embryos","HTZ-1_NBP170893","htz-1","N2","20 degree celsius","GSM1217409;GSM1217410;GSM1217411;GSM1217412"
"31","modENCODE_6213","seq-JL00006 ZFP1 N2 L3","L3 Larval Stage","JL00006_ZFP1","zfp-1","N2","20 degree celsius","GSM1217405;GSM1217406;GSM1217407;GSM1217408"
"32","modENCODE_6208","seq-AB46540 NIgG N2 Mxemb","Mixed Stage Embryos","AB46540_NIgG","target:N/A (negative control IgG)","N2","20 degree celsius","GSM1195431;GSM1195432;GSM1195433;GSM1195434"
"33","modENCODE_6023","seq-SDQ2946 HCP4 N2 Mxemb","Mixed Stage Embryos","HCP-4_SDQ2946","hcp-4","N2","20 degree celsius","GSM1206414;GSM1206415;GSM1206416;GSM1206417"
"34","modENCODE_6021","seq-SDQ2966 MIS12 N2 Mxemb","Mixed Stage Embryos","MIS-12_SDQ2966","mis-12","N2","20 degree celsius","GSM1195427;GSM1195428;GSM1195429;GSM1195430"
"35","modENCODE_6008","seq-SDQ3898 KLE2 FEM2 AD","Germline containing young adult","CEC-1_SDQ2901","cec-1","DH245","20 degree celsius","GSM1206410;GSM1206411;GSM1206412;GSM1206413"
"36","modENCODE_6007","seq-SDQ4625 T09A5.8 FEM2 AD","Germline containing young adult","T09A5.8_SDQ4625","T09A5.8","DH245","20 degree celsius","GSM1217397;GSM1217398;GSM1217399;GSM1217400"
"37","modENCODE_5987","seq-SDQ3528 NURF1 N2 L3","L3 Larval Stage","NURF-1_SDQ3528","nurf-1","N2","20 degree celsius","GSM1217389;GSM1217390;GSM1217391;GSM1217392"
"38","modENCODE_5986","seq-SDQ3525 NURF1 N2 L3","L3 Larval Stage","NURF-1_SDQ3525","nurf-1","N2","20 degree celsius","GSM1217385;GSM1217386;GSM1217387;GSM1217388"
"39","modENCODE_5985","seq-SDQ2940 NURF1 N2 L3","L3 Larval Stage","NURF-1_SDQ2940","nurf-1","N2","20 degree celsius","GSM1217381;GSM1217382;GSM1217383;GSM1217384"
"40","modENCODE_5980","seq-HM4077 LIN61 N2 L3","L3 Larval Stage","LIN-61_HM4077","lin-61","N2","20 degree celsius","GSM1217377;GSM1217378;GSM1217379;GSM1217380"
"41","modENCODE_5979","seq-SDQ3520 LIN61 N2 L3","L3 Larval Stage","LIN-61_SDQ3520","lin-61","N2","20 degree celsius","GSM1195415;GSM1195416;GSM1195417;GSM1195418"
"42","modENCODE_5976","seq-SDQ2340 HPL2 N2 L3","L3 Larval Stage","HPL-2_SDQ2340","hpl-2","N2","20 degree celsius","GSM1206406;GSM1206407;GSM1206408;GSM1206409"
"43","modENCODE_5975","seq-SDQ2342 LET418 N2 L3","L3 Larval Stage","LET-418_SDQ2342","let-418","N2","20 degree celsius","GSM1217373;GSM1217374;GSM1217375;GSM1217376"
